,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y,year
0,7001,Royat,périurbaine,fond,"8 Avenue Louis Pasteur, 63130 ROYAT",,,0,13,17,,,,5,13383,,,,,,,,3.047192684,45.76466592,2014
1,7004,Montferrand,urbaine,fond,"Rue Gustave Courbet, 63000 CLERMONT-FERRAND",,,0,22,38,17,7,10,4,13413,,,,,,,,3.113828851,45.79727916,2014
2,7009,Clermont - Jardin Lecoq,urbaine,fond,"Jardin Lecoq, 63000 CLERMONT-FERRAND",,,0,23,39,16,5,,3,11709,,,,,,,,3.087501058,45.77216995,2014
3,7010,Montluçon - Centre,proximité trafic,trafic,"Place Louis Bavay, 03100 MONTLUCON",,,0,24,51,16,2,,,,,,,,,,,2.598136589,46.34371922,2014
4,7011,Aurillac - Centre,proximité trafic,trafic,"95 Avenue de la République, 15000 AURILLAC",,,0,32,,14,0,,,,,,,,,,,2.436638464,44.92322084,2014
5,7012,Le Puy en velais - Centre,urbaine,fond,"Ecole Jules Ferry, 43000 LE PUY EN VELAY",,,0,18,,,,,2,12212,,,,,,,,3.882671542,45.04471809,2014
6,7013,Montlucon Château,urbaine,fond,"Esplanade du château, 03100 MONTLUCON",,,0,12,17,,,,4,10728,,,,,,,,2.604586073,46.34008581,2014
7,7014,Aurillac - Aérodrome,périurbaine,fond,"Aérodrome, 15000 AURILLAC",,,,,,,,,3,13051,,,,,,,,2.420192153,44.89833092,2014
8,7015,Sommet du Puy de Dôme,rurale régionale,fond,"Sommet Puy de Dôme, 63870 ORCINES",,,,,,,,,22,19189,,,,,,,,2.964587812,45.77217131,2014
9,7016,Montlucon - Hippodrome,urbaine,fond,"Hippodrome, 03100 MONTLUCON",,,,,,,,,5,11779,,,,,,,,2.601308937,46.32413584,2014
10,7017,Aurillac - Mairie,urbaine,fond,"Mairie 14 rue de la Coste, 15000 AURILLAC",,,0,9,,,,,2,13230,,,,,,,,2.445163491,44.93133111,2014
11,7018,Vals-près-le-Puy,périurbaine,fond,"Mairie, 43750 VALS PRES LE PUY",,,,,,,,,9,14859,,,,,,,,3.876079536,45.03011099,2014
12,7020,Busset,rurale régionale,fond,"Ecole, 03270 BUSSET",,,,,,,,,3,10591,,,,,,,,3.515136781,46.06028108,2014
13,7022,Paray-le-Fresil,rurale régionale,fond,"Stade, 03230 PARAY LE FRESIL",,,0,3,4,12,1,,2,9082,,,,,,,,3.600672372,46.65266263,2014
14,7028,Les Ancizes,proximité industrielle,industrielle,"Allée du collège, 63770 LES ANCIZES",,,,,,11,3,,,,,,,,,,,2.829801258,45.92969792,2014
15,7029,Sembadel,rurale régionale,fond,"Mairie, 43160 SEMBADEL",,,,,,,,,2,11608,,,,,,,,3.68791781,45.27472323,2014
16,7031,Rageade,rurale régionale,fond,"Mairie, 15500 RAGEADE",,,,,,10,1,,12,16629,,,,,,,,3.277361319,45.10472135,2014
17,7032,Riom,urbaine,fond,"Rue de l'intendance d'Auvergne, 63200 RIOM",,,0,17,25,,,,3,13205,,,,,,,,3.115060644,45.89419792,2014
18,7034,Clermont - Esplanade de la gare,proximité trafic,trafic,"Esplanade de la gare, 63000 CLERMONT-FERRAND",,,2,42,94,18,8,12,,,,,,,,,,3.096244436,45.77569276,2014
19,7039,Chamalières,proximité trafic,trafic,"Avenue de Fontmaure,63400 CHAMALIERES",,,0,33,76,19,4,,,,,,,,,,,3.062977994,45.77477972,2014
20,7043,Le Puy - Coiffier,urbaine,fond,"Square Coiffier, 43000 LE PUY EN VELAY",,,0,29,,18,4,,,,,,,,,,,3.888802205,45.04285945,2014
21,7045,Issoire (école),urbaine,fond,Notre Dame du Ponteil  63500 ISSOIRE,,,0,16,24,14,1,,2,12736,,0.8,,,,,,3.248218354,45.54544059,2014
22,7048,Villeneuve-sur-Allier,proximité trafic,trafic,Route de Paris  03460 VILLENEUVE-SUR-ALLIER,,,0,55,203,,,,,,,,,,,,,3.249300587,46.65905227,2014
23,15013,Sud grenoblois / Champ sur Drac,périurbaine,fond,École des Gonnardières 24 chemin des Gonnardières 38560 CHAMP-SUR-DRAC,,,0,18,26,,,,,,,,,,,,,5.728653983,45.07959915,2014
24,15017,Fontaine les Balmes,urbaine,fond,31 bis Avenue Lénine  38600 FONTAINE,,,0,23,36,20,7,,17,15666,,,,,,,,5.686971398,45.19049841,2014
25,15018,Voiron Urbain,urbaine,fond,Rue de Maubec  38500 VOIRON,,,0,18,29,21,8,,17,15590,,,,,,,,5.589443331,45.36001372,2014
26,15031,Ecrins,rurale nationale,fond,Le Serre du Cuc Le Casset  05220 LE-MONETIER-LES-BAINS,,,,,,,,,17,25212,,,,,,,,6.469503038,44.99809555,2014
