,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
0,7001,Royat,périurbaine,fond,"8 Avenue Louis Pasteur, 63130 ROYAT",,,0,13,21,,,,12,10574,,,,,,,,3.047192684,45.76466592
1,7004,Montferrand,urbaine,fond,"Rue Gustave Courbet, 63000 CLERMONT-FERRAND",,,0,23,47,16,9,12,10,8712,,,,,,,,3.113828851,45.79727916
2,7009,Clermont - Jardin Lecoq,urbaine,fond,"Jardin Lecoq, 63000 CLERMONT-FERRAND",,,0,24,47,16,4,,4,7171,,,,,,,,3.087501058,45.77216995
3,7010,Montluçon - Centre,proximité trafic,trafic,"Place Louis Bavay, 03100 MONTLUCON",,,0,22,46,18,1,,,,,,,,,,,2.598136589,46.34371922
4,7013,Montlucon Château,urbaine,fond,"Esplanade du château, 03100 MONTLUCON",,,0,12,17,,,,3,6562,,,,,,,,2.604586073,46.34008581
5,7015,Sommet du Puy de Dôme,rurale régionale,fond,"Sommet Puy de Dôme, 63870 ORCINES",,,,,,,,,25,13853,,,,,,,,2.964587812,45.77217131
6,7016,Montlucon - Hippodrome,urbaine,fond,"Hippodrome, 03100 MONTLUCON",,,,,,,,,12,7367,,,,,,,,2.601308937,46.32413584
7,7020,Busset,rurale régionale,fond,"Ecole, 03270 BUSSET",,,,,,,,,10,7443,,,,,,,,3.515136781,46.06028108
8,7022,Paray-le-Fresil,rurale régionale,fond,"Stade, 03230 PARAY LE FRESIL",,,0,4,4,11,0,8,20,8566,,,,,,,,3.600672372,46.65266263
9,7028,Les Ancizes,proximité industrielle,industrielle,"Allée du collège, 63770 LES ANCIZES",,,,,,11,0,,,,,,,,,,,2.829801258,45.92969792
10,7029,Sembadel,rurale régionale,fond,"Mairie, 43160 SEMBADEL",,,,,,,,,11,9838,,,,,,,,3.68791781,45.27472323
11,7031,Rageade,rurale régionale,fond,"Mairie, 15500 RAGEADE",,,,,,8,0,,11,13006,,,,,,,,3.277361319,45.10472135
12,7032,Riom,urbaine,fond,"Rue de l'intendance d'Auvergne, 63200 RIOM",,,0,17,26,,,,11,8551,,,,,,,,3.115060644,45.89419792
13,7034,Clermont - Esplanade de la gare,proximité trafic,trafic,"Esplanade de la gare, 63000 CLERMONT-FERRAND",,,1,40,100,19,13,13,,,,,,,,,,3.096244436,45.77569276
14,7039,Chamalières,proximité trafic,trafic,"Avenue de Fontmaure,63400 CHAMALIERES",,,0,33,80,16,3,,,,,,,,,,,3.062977994,45.77477972
15,7042,Autoroute A71,proximité trafic,trafic,Bordure Autoroute A71 PR 387.5 sens Clermont-Bourg,,,0,38,85,16,7,,,,,,,,,,,3.142720876,45.78369393
16,7045,Issoire (école),urbaine,fond,Notre Dame du Ponteil  63500 ISSOIRE,,,0,15,24,14,0,,4,8381,,0.8,,,,,,3.248218354,45.54544059
17,7048,Villeneuve-sur-Allier,proximité trafic,trafic,Route de Paris  03460 VILLENEUVE-SUR-ALLIER,,,0,49,163,,,,,,,,,,,,,3.249300587,46.65905227
18,7049,Moulins,urbaine,fond,Place Marechal de Lattre de Tassigny 03000 MOULINS,,,,,,,,,9,7015,,,,,,,,3.331085686,46.56185903
19,7051,Beaulieu - Vernea,proximité industrielle,industrielle,Chemin du petit Gandaillat 63000 CLERMONT-FERRAND,,,0,16,25,14,2,,3,6782,,,,,,,,3.15619163,45.76838576
20,7052,Aurillac - LAGARDE,urbaine,fond,Henry Dunant 15000 AURILLAC,,,0,10,14,11,0,,7,9187,,,,,,,,2.441080074,44.92008295
21,7053,Clermont - Edouard Michelin,proximité trafic,trafic,"98, Avenue Edouard Michelin 63000 CLERMONT-FERRAND",,,10,43,106,,,,,,,,,,,,,3.111580513,45.78041521
22,7054,Le Puy - Causans,urbaine,fond,"Stade Le Causans - Rue de la Fonderie, 43000 LE PUY EN VELAY",,,0,15,27,12,0,,6,9010,,,,,,,,3.886693146,45.03880626
23,15013,Sud grenoblois / Champ sur Drac,périurbaine,fond,École des Gonnardières 24 chemin des Gonnardières 38560 CHAMP-SUR-DRAC,,,0,15,25,,,,31,17085,,,,,,,,5.728653983,45.07959915
24,15017,Fontaine les Balmes,urbaine,fond,31 bis Avenue Lénine  38600 FONTAINE,,,0,21,34,19,3,,19,12675,,,,,,,,5.686971398,45.19049841
25,15018,Voiron Urbain,urbaine,fond,Rue de Maubec  38500 VOIRON,,,0,18,29,19,1,,16,11332,,,,,,,,5.589443331,45.36001372
26,15031,Ecrins,rurale nationale,fond,Le Serre du Cuc Le Casset  05220 LE-MONETIER-LES-BAINS,,,,,,,,,27,21926,,,,,,,,6.469503038,44.99809555
27,15038,Saint-Martin d'Heres,urbaine,fond,Parc Daniel Casanova Avenue Benoît Frachon 38400 SAINT-MARTIN-D'HERES,,,0,26,49,18,5,,26,15240,,,,,,,,5.753252647,45.18302696
28,15039,Grenoble Rocade Sud,proximité trafic,trafic,Face au  23 - Chemin du Tremblay  38130 ECHIROLLES,,,0,47,126,28,32,14,,,,,,,,,,5.703764952,45.15842477
29,15043,Grenoble les Frenes,urbaine,fond,Ecole Maternelle Les Frênes 1 allée de la Pelouse 38100 GRENOBLE,0,0,0,20,39,19,4,14,16,9826,,,,,,1.5,,5.735824383,45.16170648
30,15045,Sud grenoblois / Vif,périurbaine,fond,Allée traversière  38450 VIF,,,0,12,18,16,1,,22,14020,,,,,,,,5.676897768,45.05803473
31,15046,Grenoble Grands Boulevards,proximité trafic,trafic,48-50 Boulevard Foch  38000 GRENOBLE,,,1,45,117,23,14,,,,,,,,,,,5.720630177,45.18075469
32,15048,Est grenoblois / Grésivaudan,périurbaine,fond,Rue Léo Lagrange  38190 CROLLES,,,0,16,30,18,4,,,,,,,,,,,5.882398642,45.27996926
33,20004,Lyon Saint-Just,urbaine,fond,Ecole Mathilde Siraud 5 Place Abbé Larue 69005 LYON,,,0,28,51,,,,3,5346,,,,,,,,4.820337324,45.75537349
34,20013,A7 Sud lyonnais,proximité trafic,trafic,Face au 25 ter - Quai Pierre Sémard  (au bord de l'A7)  69350 LA MULATIERE,,,6,65,181,30,32,18,,,,,,,,,,4.818159756,45.72008214
35,20017,Lyon Gerland,urbaine,fond,Groupe Scolaire Claudius Berthelier 181 Rue Marcel Mérieux 69007 LYON,,,0,32,63,24,21,,0,5399,,,,,,,,4.829800947,45.73535025
36,20019,Villeurbanne Place Grandclément,proximité trafic,trafic,Maison Berthy Albrecht 14 Place Jules Grand Clément 69100 VILLEURBANNE,,,3,39,87,24,22,,,,,,,,,,,4.8862195,45.75841628
37,20029,Sud lyonnais / Feyzin ZI,proximité industrielle,industrielle,Stade Municipal Jean Bouin Rue de la Tuillière 69320 FEYZIN,0,0,0,28,50,22,19,,,,,,,,,,,4.845836121,45.6639401
38,20031,Sud lyonnais / Saint-Fons,proximité industrielle,industrielle,Stade municipal Carnot 64 Rue Carnot 69190 SAINT-FONS,0,0,0,30,57,21,16,,,,,,,,,,,4.864488928,45.70780483
39,20034,Sud lyonnais / Pierre-Bénite,proximité industrielle,industrielle,Groupe Scolaire des Cerisiers Impasse Robert d'Aversa 69310 PIERRE-BENITE,0,0,,,,,,,,,,0.8,,,,,,4.829697995,45.69959302
40,20037,Sud lyonnais / Ternay,périurbaine,fond,Salle Omnisports du Dévès Chemin du Dévès Ouest 69360 TERNAY,,,0,24,38,20,14,,,,,,,,,,,4.802542285,45.60192473
41,20045,Est lyonnais / Genas,périurbaine,fond,"DDE ""Les Grandes Terres"" - Porte du Dauphiné  69740 GENAS",,,0,29,56,20,15,,10,9537,,,,,,,,4.98054663,45.73188396
42,20046,Est lyonnais / Vaulx en Velin,urbaine,fond,ENTPE 3 Rue Maurice Audin 69120 VAULX-EN-VELIN,,,1,23,43,20,13,,11,10575,,,,,,,,4.924922674,45.77896618
43,20047,Nord lyonnais / Côtière de l'Ain,périurbaine,fond,Passage de Paravis  1700 MIRIBEL,,,0,19,31,19,9,,13,12183,,,,,,,,4.9539617,45.82328012
44,20048,Est lyonnais / Saint Exupéry,périurbaine,fond,Complexe Sportif  Louis Durand Rue de l'Egalité 69330 PUSIGNAN,,,0,14,21,19,8,,16,11426,,,,,,,,5.072299004,45.75358327
45,20049,Haut-Beaujolais,rurale régionale,fond,Le Bourg Derrière l'église 69170 DIEME,,,0,5,6,,,,13,8556,,,,,,,,4.46571625,45.96147357
46,20060,Sud lyonnais / Vénissieux,proximité industrielle,industrielle,Groupe Scolaire du Centre 43 Boulevard Laurent Gérin 69200 VENISSIEUX,0,0,,,,,,,,,,,6.5,0.5,0.1,2.1,,4.883641896,45.70393737
47,20061,Villefranche Village,urbaine,fond,330 - rue des Jardiniers  69400 VILLEFRANCHE-SUR-SAONE,,,0,27,50,18,3,14,,,,,,,,,,4.719287515,45.98644081
48,20062,Lyon Centre,urbaine,fond,20 rue du Lac  69003 LYON,,,0,28,,21,16,15,3,6948,,,6.3,0.4,0.1,2.1,,4.853725888,45.75799123
