gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
38,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,5,2018,3.113828888,45.79729717,16.9,,,64.9
39,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,5,2018,3.087501101,45.77219697,16.1,12,,68.6
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,5,2018,5.75310114,45.18279644,13.1,15.6,,51.1
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,5,2018,5.735603366,45.16187407,11.6,14.1,-0.9,52.1
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,5,2018,4.829800054,45.73532325,17.3,18.3,,64.2
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,5,2018,4.802195719,45.60192128,12.3,17.5,,65.2
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,5,2018,4.924700509,45.77887089,18.4,15.2,,74.2
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,5,2018,4.953959787,45.82322611,9.9,13.2,,73.8
12,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,5,2018,5.070377771,45.75485265,7.5,13.4,,79.7
14,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,5,2018,4.853725888,45.75799123,17.1,19.6,,74
16,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,5,2018,4.805142184,45.36778213,15,20.4,,69.5
21,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,5,2018,4.074653898,46.04106794,13.4,11.6,,66.5
22,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,5,2018,4.395419639,45.4201064,14.2,14.3,,67.2
55,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,5,2018,4.514999613,45.47529369,20.5,13.7,,63.3
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,5,2018,5.928435518,45.56462103,13.5,13.1,,57.1
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,5,2018,5.918616424,45.59668502,7.6,14.2,,67
110,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,5,2018,6.349723082,45.27471893,5,13.6,7.1,60.7
26,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,5,2018,6.869996699,45.92253686,9.7,11.1,,68
28,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,5,2018,6.118449775,45.89538066,13.6,15.9,,54.9
30,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,5,2018,6.240562703,46.19584661,13.5,14.4,,68.1
32,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,5,2018,6.713642902,45.9235436,6.9,16,,62.2
33,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,5,2018,5.820837783,46.07223918,4.9,14.1,0.3,71.2
36,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,5,2018,4.893674494,44.93318986,15.2,15.3,,66.6
