,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
0,107,PUY-DE-DOME,Clermont-Ferrand,Delille,FR07008,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232337,7,2018,3.094580472,45.78092601
1,48,PUY-DE-DOME,Riom,Riom,FR07032,urban,Fond,Ozone,7,68.1,ug.m-3,mensuel,1,1,232669,9,2018,3.115060625,45.89418891
2,58,ISERE,Champagnier,Champagnier,FR15012,suburban,Industrielle,Ozone,7,,ug.m-3,mensuel,0,0,233001,12,2018,5.726999066,45.10928942
3,20,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Ozone,7,78.9,ug.m-3,mensuel,1,1,232005,4,2018,4.395419639,45.4201064
4,106,RHONE,Genas,GENAS,FR20045,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231673,2,2018,4.980295626,45.73169921
5,27,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,Ozone,7,35.5,ug.m-3,mensuel,1,1,231650,2,2018,6.869996699,45.92253686
6,42,CANTAL,Aurillac,Aurillac-Lagarde,FR07052,urban,Fond,Ozone,7,84.1,ug.m-3,mensuel,1,1,232314,7,2018,2.441079984,44.92009195
7,84,ALLIER,MontluÃ§on,Montlucon Hippodrome,FR07016,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232646,9,2018,2.600998114,46.32398167
8,46,HAUTE-LOIRE,Fay-sur-Lignon,Pays du Mezenc,FR07056,rural-regional,Fond,Ozone,7,103.2,ug.m-3,mensuel,1,1,231982,4,2018,4.226011601,44.98380061
9,3,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Ozone,7,12.9,ug.m-3,mensuel,1,1,232978,11,2018,5.589410897,45.3601406
10,114,RHONE,Neuville-sur-SaÃ´ne,NEUVILLE,FR20044,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231435,12,2017,4.838894431,45.87803176
11,104,SAVOIE,Val-Cenis,PLAN DU LAC,FR33411,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232122,5,2018,6.830272859,45.33996429
12,33,DROME,Romans-sur-IsÃ¨re,Romans-sur-IsÃ¨re,FR36019,urban,Fond,Ozone,7,34.3,ug.m-3,mensuel,1,1,231458,12,2017,5.04429431,45.04247504
13,3,HAUTES-ALPES,Le MonÃªtier-les-Bains,Le Casset2,FR15031,rural-remote,Fond,Ozone,7,110.4,ug.m-3,mensuel,1,1,231959,4,2018,6.469396446,44.99699034
14,110,ISERE,Grenoble,Villeneuve,FR15008,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231627,1,2018,5.736395372,45.16140417
15,3,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,Ozone,7,63.4,ug.m-3,mensuel,1,1,232623,9,2018,5.735603366,45.16187407
16,106,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232884,11,2018,4.281682417,45.38796299
17,5,ISERE,Crolles,Gresivaudan Periurb,FR15048,suburban,Fond,Ozone,7,71.6,ug.m-3,mensuel,1,1,232220,6,2018,5.882207635,45.2797309
18,125,SAVOIE,Saint-Pierre-d'Entremont,Chartreuse,FR15111,rural-nearcity,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231790,3,2018,5.867231392,45.41554226
19,76,LOIRE,Saint-Just-Saint-Rambert,ST-Just_ST-Rambert,FR29437,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232552,8,2018,4.246095668,45.49841427
20,8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Ozone,7,68.3,ug.m-3,mensuel,1,1,232291,6,2018,4.924700509,45.77887089
21,29,HAUTE-SAVOIE,Saint-Germain-sur-RhÃ´ne,St Germain/RhÃ´ne,FR33302,rural-nearcity,Fond,Ozone,7,29.1,ug.m-3,mensuel,1,1,232955,11,2018,5.820837783,46.07223918
22,39,PUY-DE-DOME,Orcines,Sommet du Puy de Dom,FR07015,rural-nearcity,Fond,Ozone,7,77.9,ug.m-3,mensuel,1,1,231604,1,2018,2.964587835,45.77213529
23,99,AIN,Ferney-Voltaire,Ferney-Voltaire,FR33303,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232477,8,2018,6.112505597,46.25583976
24,116,HAUTE-LOIRE,Fay-sur-Lignon,Fay-sur-Lignon,FR07055,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231936,4,2018,4.226088816,44.9844301
25,32,DROME,Romans-sur-IsÃ¨re,Romans-sur-IsÃ¨re,FR36019,urban,Fond,Ozone,7,74.1,ug.m-3,mensuel,1,1,232268,6,2018,5.04429431,45.04247504
26,5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,Ozone,7,43.1,ug.m-3,mensuel,1,1,231813,3,2018,5.735603366,45.16187407
27,13,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Ozone,7,41.9,ug.m-3,mensuel,1,1,232809,10,2018,4.805142184,45.36778213
28,123,RHONE,Loire-sur-RhÃ´ne,LES ORLETS,FR20039,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232907,11,2018,4.805002835,45.54864428
