,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
0,71,SAVOIE,Grignon,Grignon,FR33115,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,221926,12,2017,6.37692949,45.65117807
1,42,AIN,Bourg-en-Bresse,Bourg-en-Bresse,FR33305,urban,Fond,Particules PM10,5,14.7,ug.m-3,mensuel,1,1,222258,3,2018,5.226583389,46.21175966
2,94,AIN,Ferney-Voltaire,Ferney-Voltaire,FR33303,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222519,5,2018,6.112505597,46.25583976
3,11,ISERE,Salaise-sur-Sanne,A7 Nord-IsÃ¨re,FR27008,suburban,Trafic,Particules PM10,5,17.9,ug.m-3,mensuel,1,1,222851,8,2018,4.804822471,45.35319621
4,13,RHONE,Lyon 7e Arrondissement,LYON TRAFIC JAURES,FR20070,urban,Trafic,Particules PM10,5,23.8,ug.m-3,mensuel,1,1,222187,2,2018,4.84438932,45.7496774
5,29,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,Particules PM10,5,14.6,ug.m-3,mensuel,1,1,223183,10,2018,4.074653898,46.04106794
6,101,ALLIER,MontluÃ§on,Montlucon Centre,FR07010,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,221949,12,2017,2.59800478,46.34396188
7,64,HAUTE-SAVOIE,Gaillard,GAILLARD,FR33212,urban,Fond,Particules PM10,5,15.1,ug.m-3,mensuel,1,1,222281,3,2018,6.214856591,46.19369277
8,118,CANTAL,Aurillac,Aurillac Centre,FR07011,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222496,5,2018,2.436778768,44.92313152
9,66,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,Particules PM10,5,14.3,ug.m-3,mensuel,1,1,222613,6,2018,6.240562703,46.19584661
10,41,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,Particules PM10,5,15.7,ug.m-3,mensuel,1,1,222945,8,2018,6.349723082,45.27471893
11,88,LOIRE,Saint-Ã‰tienne,ST ETIENNE ROND PT,FR29428,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222828,7,2018,4.412835605,45.42204972
12,6,RHONE,Villeurbanne,GRANDCLEMENT,FR20019,urban,Trafic,Particules PM10,5,24.2,ug.m-3,mensuel,1,1,222164,2,2018,4.886217349,45.75835327
13,10,RHONE,Villeurbanne,Lyon PÃ©riphÃ©rique,FR20069,urban,Trafic,Particules PM10,5,19.9,ug.m-3,mensuel,1,1,223160,10,2018,4.898570079,45.77480986
14,62,CANTAL,Aurillac,Aurillac-Lagarde,FR07052,urban,Fond,Particules PM10,5,8.2,ug.m-3,mensuel,1,1,223229,11,2018,2.441079984,44.92009195
15,3,ISERE,Grenoble,Grenoble Boulevards,FR15046,urban,Trafic,Particules PM10,5,16.4,ug.m-3,mensuel,1,1,222897,8,2018,5.720627984,45.1807097
16,53,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy-Causans,FR07054,urban,Fond,Particules PM10,5,10.8,ug.m-3,mensuel,1,1,222542,5,2018,3.88700062,45.0389749
17,14,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,Particules PM10,5,13,ug.m-3,mensuel,1,1,222874,8,2018,6.869996699,45.92253686
18,19,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,Particules PM10,5,19.7,ug.m-3,mensuel,1,1,222210,2,2018,4.514999613,45.47529369
19,51,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Particules PM10,5,20.5,ug.m-3,mensuel,1,1,223206,10,2018,4.924700509,45.77887089
20,85,ALLIER,Moulins,MOULINS,FR07049,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222682,6,2018,3.331085522,46.56183202
21,40,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,Particules PM10,5,17.6,ug.m-3,mensuel,1,1,222688,6,2018,6.713642902,45.9235436
22,63,HAUTE-SAVOIE,Demi-Quartier,Demi-Quartier,FR33237,suburban,Fond,Particules PM10,5,14.7,ug.m-3,mensuel,1,1,222759,7,2018,6.617393259,45.87510164
23,43,HAUTE-SAVOIE,Annemasse,ANNEMASSE TRAFIC,FR33213,urban,Trafic,Particules PM10,5,18.8,ug.m-3,mensuel,1,1,223346,12,2018,6.235543816,46.19085254
24,61,PUY-DE-DOME,Clermont-Ferrand,Beaulieu,FR07051,suburban,Industrielle,Particules PM10,5,12.7,ug.m-3,mensuel,1,1,223352,12,2018,3.15499665,45.76897272
25,122,DROME,Pierrelatte,Pierrelatte,FR36027,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223423,12,2018,4.696927446,44.36843787
26,29,LOIRE,Saint-Ã‰tienne,ST ETIENNE BD URBAIN ,FR29441,urban,Trafic,Particules PM10,5,15,ug.m-3,mensuel,1,1,222095,1,2018,4.388763482,45.44801752
27,31,SAVOIE,ChambÃ©ry,CHAMBERY LE HAUT,FR33102,urban,Fond,Particules PM10,5,15.6,ug.m-3,mensuel,1,1,222018,1,2018,5.918616424,45.59668502
28,85,ALLIER,Moulins,MOULINS,FR07049,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222072,1,2018,3.331085522,46.56183202
29,37,HAUTE-SAVOIE,Annemasse,ANNEMASSE TRAFIC,FR33213,urban,Trafic,Particules PM10,5,20.3,ug.m-3,mensuel,1,1,222736,7,2018,6.235543816,46.19085254
30,111,HAUTE-SAVOIE,Demi-Quartier,Demi-Quartier,FR33237,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223369,12,2018,6.617393259,45.87510164
31,115,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223375,12,2018,4.281682417,45.38796299
32,26,LOIRE,Saint-Ã‰tienne,ST ETIENNE BD URBAIN ,FR29441,urban,Trafic,Particules PM10,5,15.1,ug.m-3,mensuel,1,1,222705,6,2018,4.388763482,45.44801752
33,94,RHONE,Givors,GIVORS,FR20038,suburban,Industrielle,Particules PM10,5,,ug.m-3,mensuel,0,0,222041,1,2018,4.773027653,45.58220911
34,51,PUY-DE-DOME,Clermont-Ferrand,Site autoroutier A71,FR07042,urban,Trafic,Particules PM10,5,14.4,ug.m-3,mensuel,1,1,221972,12,2017,3.143004889,45.78402676
35,94,PUY-DE-DOME,Clermont-Ferrand,Delille,FR07008,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222636,6,2018,3.094580472,45.78092601
36,54,ALLIER,Moulins,Moulins Centre,FR07057,urban,Fond,Particules PM10,5,14.7,ug.m-3,mensuel,1,1,222805,7,2018,3.340642347,46.56198407
37,63,HAUTE-LOIRE,Fay-sur-Lignon,Pays du Mezenc,FR07056,rural-regional,Fond,Particules PM10,5,6.3,ug.m-3,mensuel,1,1,223300,11,2018,4.226011601,44.98380061
38,23,SAVOIE,ChambÃ©ry,ChambÃ©ry Trafic,FR33105,urban,Trafic,Particules PM10,5,24.3,ug.m-3,mensuel,1,1,222141,2,2018,5.932988974,45.56945829
39,106,PUY-DE-DOME,Issoire,Issoire Ecole Centre,FR07045,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222659,6,2018,3.247652276,45.54494657
40,46,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,Particules PM10,5,16.4,ug.m-3,mensuel,1,1,222782,7,2018,3.087501101,45.77219697
41,103,HAUTE-SAVOIE,Thonon-les-Bains,THONON les Bains,FR33260,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223323,11,2018,6.484725919,46.37448041
42,110,DROME,Valence,Valence boulevard,FR36033,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223446,12,2018,4.918420468,44.93123441
43,114,ISERE,Vizille,Vizille,FR15014,suburban,Industrielle,Particules PM10,5,,ug.m-3,mensuel,0,0,221995,12,2017,5.770856387,45.07928726
44,2,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Particules PM10,5,16,ug.m-3,mensuel,1,1,222118,1,2018,5.589410897,45.3601406
45,48,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy-Causans,FR07054,urban,Fond,Particules PM10,5,9.1,ug.m-3,mensuel,1,1,221932,12,2017,3.88700062,45.0389749
46,120,SAVOIE,Saint-Alban-des-Villards,Les Villards Saint-Alban,FR33116,rural-regional,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222181,2,2018,6.260022655,45.31540203
47,16,HAUTE-SAVOIE,Annecy,NOVEL,FR33202,urban,Fond,Particules PM10,5,9.4,ug.m-3,mensuel,1,1,222928,8,2018,6.135649748,45.9170744
48,6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,Particules PM10,5,19.1,ug.m-3,mensuel,1,1,223260,11,2018,4.829800054,45.73532325
49,77,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222513,5,2018,4.894029845,45.77641745
50,53,CANTAL,Aurillac,Aurillac-Lagarde,FR07052,urban,Fond,Particules PM10,5,8.7,ug.m-3,mensuel,1,1,222619,6,2018,2.441079984,44.92009195
51,93,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Fayolle,FR07021,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223154,10,2018,3.885422203,45.04195891
52,113,HAUTE-SAVOIE,Marnaz,MARNAZ,FR33367,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223166,10,2018,6.533393932,46.05767847
53,6,ISERE,Grenoble,Grenoble Boulevards,FR15046,urban,Trafic,Particules PM10,5,19.6,ug.m-3,mensuel,1,1,222287,3,2018,5.720627984,45.1807097
54,16,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,Particules PM10,5,16.5,ug.m-3,mensuel,1,1,222822,7,2018,5.070377771,45.75485265
55,30,SAVOIE,Saint-Julien-Mont-Denis,St Julien trafic,FR33114,urban,Trafic,Particules PM10,5,26.2,ug.m-3,mensuel,1,1,221978,12,2017,6.397018275,45.25256234
56,107,AIN,Bourg-en-Bresse,Bourg en Bresse,FR33301,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222135,2,2018,5.224747544,46.21224601
57,75,DROME,Romans-sur-IsÃ¨re,Romans-sur-IsÃ¨re,FR36019,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223306,11,2018,5.04429431,45.04247504
58,61,ISERE,Saint-Martin-d'HÃ¨res,St Martin dHeres,FR15038,urban,Fond,Particules PM10,5,18.4,ug.m-3,mensuel,1,1,222467,4,2018,5.75310114,45.18279644
59,1,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Particules PM10,5,13.8,ug.m-3,mensuel,1,1,222728,6,2018,5.589410897,45.3601406
60,13,LOIRE,Rive-de-Gier,RIVE DE GIER,FR29429,suburban,Trafic,Particules PM10,5,15.2,ug.m-3,mensuel,1,1,223060,9,2018,4.623936917,45.53339367
61,27,SAVOIE,ChambÃ©ry,PASTEUR,FR33101,urban,Fond,Particules PM10,5,12.9,ug.m-3,mensuel,1,1,222811,7,2018,5.928435518,45.56462103
62,20,RHONE,La MulatiÃ¨re,A7 SUD LYONNAIS,FR20013,suburban,Trafic,Particules PM10,5,29.5,ug.m-3,mensuel,1,1,222974,9,2018,4.818102302,45.72029023
63,20,RHONE,Villefranche-sur-SaÃ´ne,Villefranche Centre ,FR20077,urban,Fond,Particules PM10,5,12.5,ug.m-3,mensuel,1,1,222479,4,2018,4.715564903,45.9901271
