,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
0,6,ARDECHE,Saint-Bauzile,Saint Bauzile CEC,FR36007,rural-regional,Industrielle,Dioxyde de soufre,1,6.1,ug.m-3,mensuel,1,1,128536,4,2018,4.673579766,44.67593047
1,27,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128868,8,2018,4.894029845,45.77641745
2,36,RHONE,Villeurbanne,CHARPENNES,FR20021,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128204,1,2018,4.867228342,45.77524286
3,45,RHONE,Solaize,SOLAIZE,FR20033,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129200,11,2018,4.843340379,45.64917303
4,43,ISERE,Ã‰chirolles,Le Rondeau,FR15039,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128891,8,2018,5.703760159,45.15832579
5,88,ISERE,Le Versoud,Versoud,FR15007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128559,4,2018,5.850340053,45.21711641
6,13,RHONE,DiÃ¨me,HAUT BEAUJOLAIS,FR20049,rural-nearcity,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128227,1,2018,4.465714093,45.96139254
7,60,RHONE,Lyon,VILLETTE,FR20006,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129223,11,2018,4.865014022,45.75807536
8,44,ISERE,Ã‰chirolles,Le Rondeau,FR15039,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128985,9,2018,5.703760159,45.15832579
9,88,ISERE,Le Versoud,Versoud,FR15007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128653,5,2018,5.850340053,45.21711641
10,12,RHONE,DiÃ¨me,HAUT BEAUJOLAIS,FR20049,rural-nearcity,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128321,2,2018,4.465714093,45.96139254
11,20,RHONE,Lyon,DUCHERE,FR20007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129246,12,2018,4.79473598,45.78641735
12,42,RHONE,Millery,MILLERY,FR20040,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129083,10,2018,4.803054227,45.63028
13,7,ISERE,Les Roches-de-Condrieu,ROCHES DE CONDRIEU,FR27003,suburban,Industrielle,Dioxyde de soufre,1,4.6,ug.m-3,mensuel,1,1,128250,1,2018,4.766521159,45.45450301
14,30,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128914,8,2018,4.395419639,45.4201064
15,83,PUY-DE-DOME,Clermont-Ferrand,Clermont-Esplanade Gare,FR07034,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128582,5,2018,3.096244451,45.77570176
16,3,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,Dioxyde de soufre,1,3.5,ug.m-3,mensuel,1,1,128728,6,2018,6.349723082,45.27471893
17,78,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129269,12,2018,6.118449775,45.89538066
18,14,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128396,3,2018,4.953959787,45.82322611
19,35,RHONE,Villeurbanne,CHARPENNES,FR20021,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128298,2,2018,4.867228342,45.77524286
