"gid","nom_dept","nom_com","nom_station","code_station","typologie","influence","ozone","mois","annee","X","Y","no2","pm10","s02"
20,"LOIRE","Saint-Ã‰tienne","SAINT ETIENNE SUD","FR29424","urban","Fond",78.9,4,2018,4.395419639,45.4201064,13.2,13.7,
27,"HAUTE-SAVOIE","Chamonix-Mont-Blanc","CHAMONIX","FR33120","urban","Fond",35.5,2,2018,6.869996699,45.92253686,34.0,22.2,
110,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,1,2018,5.736395372,45.16140417,,,
3,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",63.4,9,2018,5.735603366,45.16187407,15.3,17.7,0.2
106,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,11,2018,4.281682417,45.38796299,,,
8,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",68.3,6,2018,4.924700509,45.77887089,10.1,12.1,
29,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",29.1,11,2018,5.820837783,46.07223918,11.5,14.4,0.1
5,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",43.1,3,2018,5.735603366,45.16187407,23.4,14.1,0.6
13,"ISERE","Roussillon","ROUSSILLON","FR27002","urban","Fond",41.9,10,2018,4.805142184,45.36778213,24.2,18.8,
10,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",27.8,12,2017,4.924700509,45.77887089,22.2,15.1,
33,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",71.2,5,2018,5.820837783,46.07223918,4.9,14.1,0.3
57,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,10,2018,4.863904251,45.53975628,,,
107,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,5,2018,4.281682417,45.38796299,,,
