gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
48,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,12,2017,3.113828888,45.79729717,21.5,,,39.4
37,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,1,2018,3.113828888,45.79729717,21.2,,,41.6
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,2,2018,3.113828888,45.79729717,23.3,,,41.1
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,3,2018,3.113828888,45.79729717,17.3,,,62.8
36,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,4,2018,3.113828888,45.79729717,15.2,,,71.5
38,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,5,2018,3.113828888,45.79729717,16.9,,,64.9
34,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,6,2018,3.113828888,45.79729717,14,,,63.1
34,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,7,2018,3.113828888,45.79729717,14.7,,,79.3
38,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,8,2018,3.113828888,45.79729717,11.6,,,75.7
42,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,9,2018,3.113828888,45.79729717,19.1,,,61.4
42,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,10,2018,3.113828888,45.79729717,22.4,,,44.1
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,11,2018,3.113828888,45.79729717,24.1,,,30.1
40,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,12,2018,3.113828888,45.79729717,22,,,36.7
36,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,12,2017,3.087501101,45.77219697,26.6,11.1,,40.7
38,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,1,2018,3.087501101,45.77219697,23.2,8.2,,46.5
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,2,2018,3.087501101,45.77219697,26.5,16.6,,44.2
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,3,2018,3.087501101,45.77219697,19,8.7,,66.9
37,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,4,2018,3.087501101,45.77219697,15,12.6,,77.3
39,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,5,2018,3.087501101,45.77219697,16.1,12,,68.6
35,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,6,2018,3.087501101,45.77219697,12.6,12.3,,65.4
35,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,7,2018,3.087501101,45.77219697,13.8,16.4,,85
39,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,8,2018,3.087501101,45.77219697,11.5,14.7,,81.3
43,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,9,2018,3.087501101,45.77219697,18.4,14.5,,65.9
43,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,10,2018,3.087501101,45.77219697,21.9,18.1,,48.3
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,11,2018,3.087501101,45.77219697,26.7,17,,30.7
41,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,12,2018,3.087501101,45.77219697,27.1,15.9,,35.5
107,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,12,2017,5.75310114,45.18279644,28.8,11.025,,14.25
51,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,1,2018,5.75310114,45.18279644,38.4,14.7,,19
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,2,2018,5.75310114,45.18279644,34.1,24.5,,27.3
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,3,2018,5.75310114,45.18279644,24.1,15.2,,45
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,4,2018,5.75310114,45.18279644,16.7,18.4,,67.1
